stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
35,0.5,19.0,35.711939400061965,,35.695812499849126,35.711939400061965,36.195706699974835,36.195706699974835,36.21241979999468,,36.41466769995168,right,19.0,1,1,0.21762800007127225,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
36,0.5,19.0,36.42871859995648,,36.4147609998472,36.42871859995648,36.92912589991465,36.92912589991465,36.92912589991465,37.229051699861884,37.829895199975,right,19.0,1,1,0.8856287999078631,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
37,0.5,19.0,37.845073899952695,,37.83000799990259,37.845073899952695,38.32898820005357,38.32898820005357,38.34586000000127,38.62984670000151,38.680715600028634,right,19.0,1,1,0.3377968000713736,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
38,0.5,18.5,38.69548019999638,,38.68086239998229,38.69548019999638,39.19619479984976,39.19619479984976,39.19619479984976,,39.44709430006333,left,-18.5,0,0,0.23417890002019703,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
39,0.5,19.0,39.46236349991523,,39.44718659995124,39.46236349991523,39.96226399997249,39.96226399997249,39.96226399997249,40.26226769993082,40.56471679988317,left,-19.0,1,1,0.590619099792093,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
40,0.5,19.0,40.579081299947575,,40.56485740002245,40.579081299947575,41.079117599874735,41.079117599874735,41.079117599874735,41.378267699852586,41.36378200002946,left,-19.0,0,0,0.26978980004787445,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
41,0.5,19.5,41.378267699852586,,41.36390780005604,41.378267699852586,41.86290269996971,41.86290269996971,41.879017499974,,41.88007019995712,left,-19.5,1,1,0.008498599985614419,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
42,0.5,19.5,41.8954235999845,,41.880171600030735,41.8954235999845,42.37937880004756,42.37937880004756,42.39551749988459,,42.64776650001295,right,19.5,0,0,0.25910500017926097,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
43,0.5,20.0,42.66244750004262,,42.64792239991948,42.66244750004262,43.162618400063366,43.162618400063366,43.162618400063366,43.46158059989102,43.44685559999198,right,20.0,1,1,0.2717641999479383,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
44,0.5,20.0,43.46158059989102,,43.446957600070164,43.46158059989102,43.9460706000682,43.9460706000682,43.96260640001856,44.24574039992876,44.42920419992879,right,20.0,1,1,0.472503500059247,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
45,0.5,20.0,44.445020099869,,44.42928020004183,44.445020099869,44.92961069988087,44.92961069988087,44.94592099986039,,45.16390479984693,right,20.0,0,0,0.22649309993721545,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
46,0.5,20.0,45.17867609998211,,45.16400199988857,45.17867609998211,45.6790535999462,45.6790535999462,45.6790535999462,45.979645000072196,113.94746429985389,right,20.0,0,0,68.26649629999883,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
47,0.5,20.0,113.9619781000074,,113.94763029995374,113.9619781000074,114.46238799998537,114.46238799998537,114.46238799998537,114.76223740004934,115.04756750003435,right,20.0,1,1,0.5826975000090897,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
48,0.5,20.0,115.0619343998842,,115.04766119993292,115.0619343998842,115.56266060005873,115.56266060005873,115.56266060005873,115.86247369996272,115.88095019990578,left,-20.0,1,1,0.30535639985464513,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
49,0.5,20.0,115.89639790006913,,115.88108900003135,115.89639790006913,116.3964537999127,116.3964537999127,116.3964537999127,116.69672079989687,116.71333589986898,left,-20.0,0,0,0.30399870011024177,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
