trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	fixation.started	fixation.stopped	grating.started	key_resp.started	grating.stopped	trial.stopped	key_resp.keys	key_resp.corr	key_resp.rt	key_resp.duration	tilt	participant	session	date	expName	psychopyVersion	frameRate	expStart
55	0	55	0	90.6605276		90.648256	90.6605276	91.6608412	91.6608412	91.6608412	91.9607209	92.1782459	up	1	0.515301	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
56	0	56	0	92.1938195		92.1796445	92.1938195	93.1941083	93.1941083	93.1941083	93.4939077	93.7786391	down	1	0.5763712	None	-4	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
57	0	57	0	93.793809		93.7819799	93.793809	94.7940349	94.7940349	94.7940349	95.0939543	95.3620523	down	1	0.5644556	None	4	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
58	0	58	0	95.3773947		95.3650982	95.3773947	96.3774051	96.3774051	96.3774051	96.6770442	97.0619511	up	1	0.6700298	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
59	0	59	0	97.0773132		97.0650033	97.0773132	98.0775808	98.0775808	98.0775808	98.37727	99.1454338	up	1	1.0647222	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
60	0	60	0	99.16066		99.1486192	99.16066	100.1607642	100.1607642	100.1607642	100.4608815	100.6622393	up	1	0.4961688	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
61	0	61	0	100.6772848		100.665412	100.6772848	101.6774201	101.6774201	101.6774201	101.977462	102.4621037	up	1	0.7691282	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
62	0	62	0	102.4772423		102.4656229	102.4772423	103.4777174	103.4777174	103.4777174	103.7774277	104.3453549	down	1	0.8602822	None	2	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
63	0	63	0	104.3605646		104.3484714	104.3605646	105.360888	105.360888	105.360888	105.660888	106.5126	down	1	1.1370244	None	4	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
64	0	64	0	106.5276668		106.5158386	106.5276668	107.527604	107.527604	107.527604	107.8273043	108.1789448	up	0	0.6469383	None	2	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
